"","date","observer","cloud_cover","wind","vista","survey_start","int_seal_adult","int_seal_pup","int_lion_adult","int_lion_pup","swim_seal","swim_lion","humans","dtime","sio_sst","sio_air_temp","predicted_ft"
"43",2021-12-19,"BriMac",0,2,"zone1",0.5,0,0,0,0,0,0,18,2021-12-19 12:00:00,15.3000001907349,10.1999998092651,3.079
"44",2021-12-19,"BriMac",0,2,"spur",0.53125,11,0,0,0,0,0,6,2021-12-19 13:00:00,15.3000001907349,11,3.974
"45",2021-12-19,"BriMac",0,2,"lot3",0.555555555555556,10,0,0,0,0,0,0,2021-12-19 13:00:00,15.3000001907349,11,3.974
"46",2021-12-15,"JesCal",5,2,"zone1",0.409027777777778,0,0,0,0,0,0,0,2021-12-15 10:00:00,15.6000003814697,12.6999998092651,2.475
"47",2021-12-15,"JesCal",5,2,"spur",0.424305555555556,0,0,0,0,0,0,4,2021-12-15 10:00:00,15.6000003814697,12.6999998092651,2.475
"48",2021-12-15,"JesCal",5,2,"lot3",0.438194444444444,0,0,0,0,0,0,1,2021-12-15 11:00:00,15.6999998092651,12.6999998092651,3.398
"49",2021-12-13,"JesCal",100,2,"zone1",0.397222222222222,0,0,0,0,0,0,6,2021-12-13 10:00:00,15.8000001907349,12.1999998092651,3.005
"50",2021-12-13,"JesCal",100,2,"spur",0.411805555555556,5,0,0,0,0,0,9,2021-12-13 10:00:00,15.8000001907349,12.1999998092651,3.005
"51",2021-12-13,"JesCal",100,2,"lot3",0.425,6,0,0,0,0,0,8,2021-12-13 10:00:00,15.8000001907349,12.1999998092651,3.005
"52",2021-12-11,"KatGer",0,3,"zone1",0.472916666666667,0,0,0,0,0,0,9,2021-12-11 11:00:00,15.6000003814697,11,4.516
"53",2021-12-11,"KatGer",0,3,"spur",0.490972222222222,12,0,0,0,0,0,0,2021-12-11 12:00:00,15.5,12.1000003814697,4.801
"54",2021-12-11,"KatGer",0,3,"lot3",0.513888888888889,12,0,0,0,0,0,0,2021-12-11 12:00:00,15.5,12.1000003814697,4.801
"55",2021-12-21,"BriMac",90,4,"zone1",0.513888888888889,0,0,0,0,1,0,10,2021-12-21 12:00:00,15.1000003814697,13.3999996185303,NA
"56",2021-12-21,"BriMac",90,4,"spur",0.548611111111111,7,0,0,0,0,0,7,2021-12-21 13:00:00,15,14.1999998092651,NA
"57",2021-12-21,"BriMac",90,4,"lot3",0.572916666666667,5,0,0,0,1,0,3,2021-12-21 14:00:00,15,13.3000001907349,NA
"58",2021-11-21,"BriMac",0,1,"zone1",0.534722222222222,0,0,0,0,1,0,27,2021-11-21 13:00:00,16.5,14,3.363
"59",2021-11-21,"BriMac",0,1,"spur",0.565972222222222,14,0,0,0,0,0,8,2021-11-21 14:00:00,15.6000003814697,13.6999998092651,4.255
